ID,Meal Name,Ingredients
52,Eggnog Latte,"⅓ cup 2% milk, ⅔ cup eggnog, 1 (1.5 fluid ounce) jigger brewed espresso, 1 pinch ground nutmeg, "
53,Gingerbread Coffee,"½ cup molasses, ¼ cup brown sugar, ½ teaspoon baking soda, 1 teaspoon ground ginger, ¾ teaspoon ground cinnamon, 6 cups hot brewed coffee, 1 cup half-and-half cream, 1 teaspoon ground cloves, 1 ½ cups sweetened whipped cream, "
54,Chocolate Cream Cold Brew,"2 tablespoons heavy whipping cream, 1 tablespoon milk, 1 1/2 teaspoons chocolate syrup (such as Torani® Sugar Free Syrup), 1 1/2 teaspoons cocoa powder, 1/2 teaspoon  vanilla extract, 1 cup cold brew coffee, "
55,Pumpkin-Spice Latte Bombs,"10 ounces white chocolate, divided, 3 tablespoons French vanilla instant coffee, 1 ½ teaspoons pumpkin pie spice, 4 drops orange food coloring, 6 cups hot brewed coffee, "
56,Java Chip Frappe,"1 1/2 cups Almond Breeze Original Almondmilk, 2 tablespoons Almond Breeze Vanilla Almondmilk Creamer, 3 cups ice cubes, 1 1/2 cups strong brewed coffee, cooled, 1/4 cup chocolate syrup, 1/2 cup semi-sweet chocolate chips, "
57,Mexican Mocha,"2 tablespoons powdered sugar, 1 tablespoon unsweetened cocoa powder, ¼ teaspoon ground cinnamon, ¼ teaspoon chili powder, 1 cup hot coffee, ¼ cup half-and-half creamer, whipped cream for topping (optional), cinnamon for sprinkling (optional), "
58,Dalgona Coffee (Whipped Coffee),"2 tablespoons boiling water, 2 tablespoons instant coffee, 2 tablespoons white sugar, 1 cup whole milk, "
59,Iced Caramel Macchiato,"1 tablespoon vanilla-flavored syrup, ⅓ cup ice cubes, ¾ cup milk, 4 ounces Gevalia® Cold Brew Concentrate - House Blend, 1 tablespoon caramel sauce, "
60,Homemade Coffee Creamer,"1 (14 ounce) can sweetened condensed milk, 1 ¾ cups skim milk, 2 teaspoons vanilla extract, "
61,Mexican Coffee Cocktail,"1 fluid ounce coffee-flavored liqueur (such as Kahlua®), ½ fluid ounce tequila, 5 fluid ounces hot coffee, 2 tablespoons whipped cream, "
62,Baileys Flat White Martini,"2 ounces Baileys® Original Irish Cream, 1 ounce vodka, 1 ounce brewed espresso, ice cubes, "
63,Homemade Caramel Latte,"½ cup milk, 1 tablespoon brown sugar, 1 tablespoon sugar-free caramel topping, 1 tablespoon caramel sauce, ¼ teaspoon vanilla extract, 1 cup coffee, "
64,French Press Cold Brew,"4 ounces coarsely ground coffee beans, 2 cups filtered water, at room temperature, "
65,Vanilla Latte,"1 ¼ cups 2% milk, 2 tablespoons vanilla flavored syrup, 1 (1.5 fluid ounce) jigger brewed espresso, "
66,Pumpkin Spice Coffee,"¼ cup ground coffee, 1 teaspoon ground allspice, ½ teaspoon ground cinnamon, 4 cups water, 2 teaspoons half-and-half cream, or to taste, 1 teaspoon white sugar, or to taste, "
67,Coffee Nudge,"8 fluid ounces coffee flavored liqueur, 8 fluid ounces brandy, 4 fluid ounces creme de cacao, 8 cups hot brewed coffee, 2 cups whipped cream, garnish, 2 tablespoons chocolate sprinkles, "
68,Coffee Liqueur,"4 cups white sugar, 4 cups water, ¾ cup instant coffee granules, 4 cups vodka, 2 tablespoons vanilla extract, "
69,Irish Cream and Coffee,"1 cup strong brewed coffee, 1 (1.5 fluid ounce) jigger Irish cream liqueur, "
70,Spanish Coffee,"1 ½ teaspoons superfine sugar, 1 fluid ounce 151-proof rum, ¾ fluid ounce triple sec (such as Bols®), 2 ½ fluid ounces coffee-flavored liqueur (such as Kahlua®), ½ cup freshly brewed coffee, "
71,Coffee Shake,"1 teaspoon instant coffee granules, ¾ cup milk, 1 teaspoon vanilla extract, 2 teaspoons white sugar, or to taste, 6  ice cubes, 2 teaspoons chocolate syrup (Optional), "
72,How to Make a Cafe Latte,"2 cups milk, 1 ⅓ cups hot freshly brewed dark roast espresso coffee, "
73,Flavored Latte,"1 ¼ cups 2% milk, 2 tablespoons flavored syrup (any flavor), 1 (1.5 fluid ounce) jigger freshly brewed espresso, "
74,Iced Mochas,"1 ½ cups cold coffee, 2 cups milk, ¼ cup chocolate syrup, ¼ cup white sugar, "
75,Hot and Spicy Himalayan Tea (Chai Tea),"7 cups water, 6 tablespoons light brown sugar, 1 ¼ inch piece fresh ginger root, peeled and chopped, 1  cinnamon stick, 6  green cardamom pods, 12  whole cloves, 2  bay leaves, 1 tablespoon fennel seeds, ½ teaspoon black peppercorns, 2 tablespoons Darjeeling tea leaves, 1 cup milk, "
76,Iced Soy Milk Matcha Tea,"1 cup vanilla soy milk, 1 teaspoon green tea powder (matcha), 1 teaspoon granular sucralose sweetener (such as Splenda®), or to taste, ice cubes, "
77,Cold-Brewed Coffee,"½ pound coarsely ground coffee beans, 4 ½ cups cold water, cheesecloth, coffee filters, "
78,Cold Brew and Almond Milk Latte,"4 cups room-temperature water, ½ cup coarsely ground coffee beans, 2 cups almond milk, or to taste, "
79,Frozen Caramel Latte,"3 fluid ounces brewed espresso, 1 tablespoon caramel sauce, 2 tablespoons white sugar, ¾ cup milk, 1 ½ cups ice cubes, 2 tablespoons whipped cream, "
80,Mango Banana Smoothie,"1 large banana, cut in chunks, ½ cup frozen mango pieces, ½ cup orange-mango juice blend, ⅓ cup plain yogurt, "
81,Pumpkin Spiced Latte,"3 cups hot whole milk, 4 teaspoons white sugar, ½ teaspoon vanilla extract, ½ teaspoon pumpkin pie spice, 6 ounces double-strength brewed coffee, 3 tablespoons sweetened whipped cream, 3 pinches pumpkin pie spice, "
82,Campfire S'Mores Frappuccino®,"¾ cup ice, ½ cup milk, 3 tablespoons marshmallow topping (such as Smucker's®), 1 shot cold espresso, ½ tablespoon Dutch-process cocoa powder, ½ tablespoon white sugar, ¼ cup whipped cream, ½ tablespoon graham cracker crumbs, "
83,Gingerbread Latte,"2 fluid ounces espresso coffee, 2 tablespoons gingerbread flavored syrup, ½ cup milk, steamed, ⅛ cup whipped cream, 1 pinch ground nutmeg, 1 pinch ground cinnamon, ½ teaspoon vanilla powder, "
84,Abbey's White Chocolate Latte,"1 ½ cups milk, 1 tablespoon heavy cream, 1 tablespoon white sugar, ⅛ teaspoon vanilla extract, ½ cup brewed espresso, ¼ cup white chocolate chips, chopped, "
85,Homemade Hot Apple Cider,"6 cups apple cider, ¼ cup real maple syrup, 2  cinnamon sticks, 6  whole cloves, 6  whole allspice berries, 1  orange peel, cut into strips, 1  lemon peel, cut into strips, "
86,Affogato,"5 ½ ounces vanilla gelato, 2 ounces fresh brewed espresso, "
87,Brown Sugar-Caramel Latte,"¼ cup half-and-half, 1 tablespoon brown sugar, ¾ cup hot, brewed coffee, 1 tablespoon caramel ice cream topping, "
88,Lion House Wassail,"2 ¼ cups white sugar, 4 cups water, 2  cinnamon sticks, 1 slice fresh ginger root, 4 cups orange juice, 2 cups lemon juice, 8 cups apple juice, 8  whole allspice berries, 1 tablespoon whole cloves, "
89,Soft Oatmeal Cookies,"2 cups all-purpose flour, 1 ½ teaspoons ground cinnamon, 1 teaspoon baking soda, 1 teaspoon salt, 1 cup unsalted butter, softened, 1 cup white sugar, 1 cup packed brown sugar, 2 large eggs, 1 teaspoon vanilla extract, 3 cups quick cooking oats, nonstick cooking spray with flour, 2 tablespoons water, 2 tablespoons white sugar, or as needed, "
90,Janet's Rich Banana Bread,"1 cup white sugar, ½ cup butter, melted, 2  eggs, 1 teaspoon vanilla extract, 1 ½ cups all-purpose flour, 1 teaspoon baking soda, ½ teaspoon salt, ½ cup sour cream, ½ cup chopped walnuts, 2  medium bananas, sliced, "
